"V1" "V2"
"348" -10.033947548937 -10.021963771674
"349" -9.89115846678161 -9.93891264747182
"350" -9.74561000397307 -9.82241000938457
"351" -9.63663471126957 -9.62952044189915
"352" -9.59918390641176 -9.36024774408726
"353" -9.8258743227946 -9.87941569647774
"354" -9.45886448061607 -9.73134853566832
"355" -9.59713818738014 -9.91596051263766
"356" -9.58800188992785 -10.1997435799686
"357" -9.39505724434661 -10.0336411902645
"358" -8.50722076535398 -9.40852723741889
"359" -8.50787459808925 -9.50932161198138
"360" -8.7403289222776 -9.24317130544114
"361" -8.77984173675369 -9.1242718244562
"362" -8.1559148033729 -8.69343104761018
"363" -8.35208072570008 -8.74454685835304
"364" -8.04115552784443 -8.68773369513752
"365" -8.51141977201262 -9.20123109321059
"366" -8.71361765746115 -9.15315795359277
"367" -8.90588041607109 -9.28964401227815
"368" -8.6492472002213 -8.72454687223108
"369" -8.85197702062533 -9.13281690582118
"370" -8.78828752180086 -8.89977122193705
"371" -8.40082774380854 -8.45813222294643
"372" -8.27272965336705 -8.2504575545239
"373" -8.12968724179292 -8.2000046403562
"374" -7.51700291449803 -7.71605484883735
"375" -7.44691720378756 -7.6819356101906
"376" -7.37909641767041 -7.39387168442155
"377" -7.61434266630186 -7.23698421904798
"378" -7.83581287477613 -7.34353614818233
"379" -7.51686954881698 -7.07123810952293
"380" -7.69754333821042 -7.52142353685434
"381" -7.86632899333589 -7.75360772575717
"382" -8.01713584404404 -7.72023088246413
"383" -8.25494377825779 -8.13829753970813
"384" -8.36490759996229 -8.48100123769236
"385" -8.55506906486684 -8.29290266319278
"386" -8.55372371027268 -8.17790704258481
"387" -8.39816018837911 -8.21255472856427
"388" -8.16243805381484 -8.3708941266339
"389" -8.85545942130145 -8.73126648696711
"390" -8.90955249637291 -8.84726478929075
"391" -9.1105213398115 -8.84157153731171
"392" -9.13574400672788 -8.79199280804968
"393" -9.27324748739449 -8.94203708745932
"394" -9.23616611517116 -9.09838699095112
"395" -9.17248352954683 -8.99195135805051
"396" -8.73170926780897 -8.43922882295737
"397" -8.94795946240566 -8.79090046083572
"398" -8.68893269137422 -8.91294989768806
"399" -8.65586983207493 -8.92087239847
"400" -7.95876159482008 -8.31363821343033
